an man on a cat ate John outside a pajamas on Bob on the man by my man with a elephant on the park,"[['PETS', 0.955538], ['SPORTS', 0.0204214], ['SCIENCE', 0.00362209], ['ARTS AND ENTERTAINMENT', 0.00196825], ['HOBBIES AND INTERESTS', 0.000707279]]","[['CATS', 0.34], ['PROFANE CONTENT', 0.24], ['PETS', 0.12], ['NON-STANDARD CONTENT', 0.1]]",True,1,1,20:22:28.436040
my man outside a telescope walked Bob outside the cat on John in the elephant by my park with an fish outside my man,"[['PETS', 0.999909], ['SPORTS', 9.14881e-05], ['SCIENCE', 4.57113e-10], ['ARTS AND ENTERTAINMENT', 2.71379e-10], ['HOBBIES AND INTERESTS', 8.88901e-11]]","[['AQUARIUMS', 0.32], ['PETS', 0.3]]",False,76,6,20:27:35.909430
my man outside a telescope walked Bob outside the telescope on John in the elephant by my park with an fish outside my man,"[['SPORTS', 0.998507], ['SCIENCE', 0.00138431], ['HOBBIES AND INTERESTS', 2.54359e-06], ['ARTS AND ENTERTAINMENT', 4.79737e-07], ['STYLE AND FASHION', 4.58258e-07]]","[['AQUARIUMS', 0.33], ['PETS', 0.13]]",True,77,7,20:27:39.880908
my man outside a telescope shot Bob outside the telescope on John in the elephant by my park with an fish outside my man,"[['SPORTS', 0.998658], ['SCIENCE', 0.00132496], ['HOBBIES AND INTERESTS', 1.06956e-06], ['ARTS AND ENTERTAINMENT', 8.52343e-07], ['NON STANDARD CONTENT', 7.91001e-07]]","[['AQUARIUMS', 0.32], ['PETS', 0.13]]",True,78,8,20:27:43.654145
my man outside a telescope killed Bob outside the telescope on John in the elephant by my park with an fish outside my man,"[['SPORTS', 0.99855], ['SCIENCE', 0.00140719], ['HOBBIES AND INTERESTS', 2.54323e-06], ['NON STANDARD CONTENT', 1.80771e-06], ['RELIGION AND SPIRITUALITY', 1.58786e-06]]","[['AQUARIUMS', 0.32], ['PETS', 0.14]]",True,79,9,20:27:47.268446
my man outside a telescope killed Bob outside the telescope on John in the elephant with my park with an fish outside my man,"[['SPORTS', 0.998533], ['SCIENCE', 0.00141441], ['HOBBIES AND INTERESTS', 2.99652e-06], ['RELIGION AND SPIRITUALITY', 1.74128e-06], ['ARTS AND ENTERTAINMENT', 9.03702e-07]]","[['AQUARIUMS', 0.32], ['PETS', 0.14]]",True,80,10,20:27:51.561410
my man outside a telescope killed Bob outside the telescope on Mary in the elephant with my park with an fish outside my man,"[['SPORTS', 0.998151], ['SCIENCE', 0.00175655], ['EDUCATION', 2.04694e-05], ['HOBBIES AND INTERESTS', 3.80375e-06], ['ARTS AND ENTERTAINMENT', 9.46131e-07]]","[['AQUARIUMS', 0.32], ['PETS', 0.13]]",True,81,11,20:27:56.289066
my man outside a telescope killed Bob outside the telescope on Mary in the elephant with my park in an fish outside my man,"[['SPORTS', 0.9982], ['SCIENCE', 0.00166042], ['EDUCATION', 2.03728e-05], ['HOBBIES AND INTERESTS', 3.68642e-06], ['ARTS AND ENTERTAINMENT', 1.24718e-06]]","[['AQUARIUMS', 0.32], ['PETS', 0.13]]",True,82,12,20:28:00.585846
my man outside a telescope killed Bob outside the telescope on Mary in the elephant with my park in an fish outside an man,"[['SCIENCE', 0.90045], ['SPORTS', 0.0477029], ['EDUCATION', 0.0169484], ['HOBBIES AND INTERESTS', 0.00260173], ['TRAVEL', 0.000399749]]","[['AQUARIUMS', 0.32], ['PETS', 0.13]]",True,83,13,20:28:05.188344
my man outside a telescope killed Bob outside the telescope in Mary in the elephant with my park in an fish outside an man,"[['SCIENCE', 0.898381], ['SPORTS', 0.0521263], ['HOBBIES AND INTERESTS', 0.0105112], ['TRAVEL', 0.000487298], ['ARTS AND ENTERTAINMENT', 0.000362615]]","[['AQUARIUMS', 0.32], ['PETS', 0.13]]",True,84,14,20:28:08.443259
my man by a telescope killed Bob outside the telescope in Mary in the elephant with my park in an fish outside an man,"[['SCIENCE', 0.921645], ['SPORTS', 0.0350013], ['HOBBIES AND INTERESTS', 0.00832999], ['ARTS AND ENTERTAINMENT', 0.000336933], ['TRAVEL', 0.00025379]]","[['AQUARIUMS', 0.32], ['PETS', 0.13]]",True,85,15,20:28:12.935384
my man by the telescope killed Bob outside the telescope in Mary in the elephant with my park in an fish outside an man,"[['SCIENCE', 0.668203], ['SPORTS', 0.164326], ['HOBBIES AND INTERESTS', 0.0430419], ['ARTS AND ENTERTAINMENT', 0.00195058], ['TRAVEL', 0.00138578]]","[['AQUARIUMS', 0.32], ['PETS', 0.13]]",True,86,16,20:28:16.559763
my man by the telescope killed Bob outside the telescope in Mary in the elephant with my park in my fish outside an man,"[['SCIENCE', 0.39413], ['SPORTS', 0.332828], ['HOBBIES AND INTERESTS', 0.0626522], ['ARTS AND ENTERTAINMENT', 0.00438849], ['NON STANDARD CONTENT', 0.00129322]]","[['AQUARIUMS', 0.32], ['PETS', 0.13]]",True,87,17,20:28:20.568699
my man by the telescope killed Mary outside the telescope in Mary in the elephant with my park in my fish outside an man,"[['SCIENCE', 0.43419], ['SPORTS', 0.334251], ['HOBBIES AND INTERESTS', 0.0550306], ['ARTS AND ENTERTAINMENT', 0.00573502], ['RELIGION AND SPIRITUALITY', 0.00250172]]","[['AQUARIUMS', 0.31], ['PETS', 0.12]]",True,88,18,20:28:24.545746
my man by the telescope killed Bob outside the telescope in Mary in the elephant with my park in my fish outside an man,"[['SCIENCE', 0.39413], ['SPORTS', 0.332828], ['HOBBIES AND INTERESTS', 0.0626522], ['ARTS AND ENTERTAINMENT', 0.00438849], ['NON STANDARD CONTENT', 0.00129322]]","[['AQUARIUMS', 0.32], ['PETS', 0.13]]",True,88,18,20:28:28.234723
my man by the telescope killed Bob outside the telescope in Bob in the elephant with my park in my fish outside an man,"[['SCIENCE', 0.434624], ['SPORTS', 0.402648], ['HOBBIES AND INTERESTS', 0.00669326], ['ARTS AND ENTERTAINMENT', 0.00445877], ['NON STANDARD CONTENT', 0.00151136]]","[['AQUARIUMS', 0.32], ['PETS', 0.13]]",True,89,19,20:28:31.929874
my man by the telescope killed John outside the telescope in Bob in the elephant with my park in my fish outside an man,"[['RELIGION AND SPIRITUALITY', 0.634601], ['SPORTS', 0.167341], ['SCIENCE', 0.160161], ['ARTS AND ENTERTAINMENT', 0.00205014], ['HOBBIES AND INTERESTS', 0.00151046]]","[['AQUARIUMS', 0.32], ['PETS', 0.14]]",True,90,20,20:28:35.959589
my man by the telescope killed Bob outside the telescope in Bob in the elephant with my park in my fish outside an man,"[['SCIENCE', 0.434624], ['SPORTS', 0.402648], ['HOBBIES AND INTERESTS', 0.00669326], ['ARTS AND ENTERTAINMENT', 0.00445877], ['NON STANDARD CONTENT', 0.00151136]]","[['AQUARIUMS', 0.32], ['PETS', 0.13]]",True,90,20,20:28:39.726851
my man by the telescope killed Bob in the telescope in Bob in the elephant with my park in my fish outside an man,"[['SCIENCE', 0.43329], ['SPORTS', 0.327885], ['LAW AND GOVERNMENT AND POLITICS', 0.0134519], ['HOBBIES AND INTERESTS', 0.0127304], ['ARTS AND ENTERTAINMENT', 0.00793871]]","[['AQUARIUMS', 0.32], ['PETS', 0.13]]",True,91,21,20:28:44.225511
my man outside the telescope killed Bob in the telescope in Bob in the elephant with my park in my fish outside an man,"[['SCIENCE', 0.4014], ['SPORTS', 0.396487], ['HOBBIES AND INTERESTS', 0.00859108], ['ARTS AND ENTERTAINMENT', 0.00602381], ['LAW AND GOVERNMENT AND POLITICS', 0.00454144]]","[['AQUARIUMS', 0.32], ['PETS', 0.13]]",True,92,22,20:28:48.262892
my man outside the telescope killed Bob in the pajamas in Bob in the elephant with my park in my fish outside an man,"[['SCIENCE', 0.695623], ['SPORTS', 0.224543], ['ARTS AND ENTERTAINMENT', 0.00285598], ['LAW AND GOVERNMENT AND POLITICS', 0.00263407], ['HOBBIES AND INTERESTS', 0.00140877]]","[['AQUARIUMS', 0.34], ['PETS', 0.15]]",True,93,23,20:28:52.041433
my man outside the telescope killed Bob in the pajamas in Bob in the elephant with my park by my fish outside an man,"[['SCIENCE', 0.877648], ['SPORTS', 0.0943377], ['ARTS AND ENTERTAINMENT', 0.00368524], ['LAW AND GOVERNMENT AND POLITICS', 0.00218734], ['HOBBIES AND INTERESTS', 0.00114492]]","[['AQUARIUMS', 0.34], ['PETS', 0.15]]",True,94,24,20:28:55.874570
my man by the telescope killed Bob in the pajamas in Bob in the elephant with my park by my fish outside an man,"[['SCIENCE', 0.898502], ['SPORTS', 0.0679475], ['LAW AND GOVERNMENT AND POLITICS', 0.00654349], ['ARTS AND ENTERTAINMENT', 0.0046332], ['HOBBIES AND INTERESTS', 0.00139728]]","[['AQUARIUMS', 0.34], ['PETS', 0.15]]",True,95,25,20:28:59.705868
my man by the telescope killed Bob in the pajamas in Bob in the elephant with my man by my fish outside an man,"[['SPORTS', 0.999547], ['SCIENCE', 0.000369304], ['LAW AND GOVERNMENT AND POLITICS', 3.78402e-05], ['ARTS AND ENTERTAINMENT', 9.54677e-06], ['NON STANDARD CONTENT', 4.04698e-06]]","[['AQUARIUMS', 0.33], ['PETS', 0.12]]",True,96,26,20:29:03.613722
my man by the telescope killed Bob in the pajamas in Bob in the elephant with the man by my fish outside an man,"[['SPORTS', 0.423012], ['SCIENCE', 0.359177], ['LAW AND GOVERNMENT AND POLITICS', 0.0987209], ['HOBBIES AND INTERESTS', 0.0182004], ['NON STANDARD CONTENT', 0.0153588]]","[['AQUARIUMS', 0.33], ['PETS', 0.12]]",True,97,27,20:29:07.252214
my monkey by the telescope killed Bob in the pajamas in Bob in the elephant with the man by my fish outside an man,"[['SCIENCE', 0.843603], ['HOBBIES AND INTERESTS', 0.0300126], ['LAW AND GOVERNMENT AND POLITICS', 0.0275819], ['NON STANDARD CONTENT', 0.0261232], ['SPORTS', 0.011964]]","[['AQUARIUMS', 0.35], ['PETS', 0.12]]",True,98,28,20:29:10.928509
my fish by the telescope killed Bob in the pajamas in Bob in the elephant with the man by my fish outside an man,"[['SCIENCE', 0.643123], ['SPORTS', 0.207259], ['LAW AND GOVERNMENT AND POLITICS', 0.0405855], ['HOBBIES AND INTERESTS', 0.0188388], ['NON STANDARD CONTENT', 0.00725598]]","[['AQUARIUMS', 0.58], ['PETS', 0.25]]",True,99,29,20:29:14.623430
my fish by the telescope saw Bob in the pajamas in Bob in the elephant with the man by my fish outside an man,"[['SCIENCE', 0.573112], ['SPORTS', 0.190614], ['LAW AND GOVERNMENT AND POLITICS', 0.0523723], ['HOBBIES AND INTERESTS', 0.0150974], ['ARTS AND ENTERTAINMENT', 0.013162]]","[['AQUARIUMS', 0.6], ['PETS', 0.24]]",True,100,30,20:29:18.614214
my fish by the fish saw Bob in the pajamas in Bob in the elephant with the man by my fish outside an man,"[['SPORTS', 0.517344], ['SCIENCE', 0.0992027], ['LAW AND GOVERNMENT AND POLITICS', 0.0143268], ['HEALTH AND FITNESS', 0.00695197], ['FOOD AND DRINK', 0.00567885]]","[['AQUARIUMS', 0.73], ['PETS', 0.37]]",True,101,31,20:29:22.303100
my fish by the fish saw Bob in the pajamas in Bob in the elephant with the man by my fish outside my man,"[['SPORTS', 0.578612], ['SCIENCE', 0.0833639], ['LAW AND GOVERNMENT AND POLITICS', 0.0104016], ['FOOD AND DRINK', 0.00524489], ['HOBBIES AND INTERESTS', 0.00343285]]","[['AQUARIUMS', 0.73], ['PETS', 0.37]]",True,102,32,20:29:26.031491
my fish by an fish saw Bob in the pajamas in Bob in the elephant with the man by my fish outside my man,"[['SPORTS', 0.348474], ['SCIENCE', 0.185965], ['LAW AND GOVERNMENT AND POLITICS', 0.0541269], ['HOBBIES AND INTERESTS', 0.0133148], ['ARTS AND ENTERTAINMENT', 0.00913174]]","[['AQUARIUMS', 0.73], ['PETS', 0.37]]",True,103,33,20:29:29.667365
my fish by an fish saw I in the pajamas in Bob in the elephant with the man by my fish outside my man,"[['SCIENCE', 0.311191], ['SPORTS', 0.295227], ['FOOD AND DRINK', 0.012716], ['RELIGION AND SPIRITUALITY', 0.00946774], ['ARTS AND ENTERTAINMENT', 0.0090387]]","[['AQUARIUMS', 0.76], ['PETS', 0.43]]",True,104,34,20:29:33.309580
my fish by an fish saw I in the pajamas in Bob in the elephant with the man with my fish outside my man,"[['SCIENCE', 0.49553], ['SPORTS', 0.209076], ['ARTS AND ENTERTAINMENT', 0.0136441], ['FOOD AND DRINK', 0.00861573], ['HEALTH AND FITNESS', 0.00790401]]","[['AQUARIUMS', 0.76], ['PETS', 0.43]]",True,105,35,20:29:37.080113
my fish by an fish saw I in the pajamas in Bob in the elephant with the monkey with my fish outside my man,"[['SCIENCE', 0.717265], ['SPORTS', 0.0999271], ['FOOD AND DRINK', 0.0214899], ['PETS', 0.0188431], ['HOBBIES AND INTERESTS', 0.0101628]]","[['AQUARIUMS', 0.76], ['PETS', 0.42]]",False,106,35,20:29:41.006054
my fish by an fish saw I in the pajamas in Bob in the elephant in the monkey with my fish outside my man,"[['SCIENCE', 0.699836], ['SPORTS', 0.0973897], ['FOOD AND DRINK', 0.025308], ['PETS', 0.0205682], ['HOBBIES AND INTERESTS', 0.0121952]]","[['AQUARIUMS', 0.76], ['PETS', 0.42]]",False,107,35,20:29:44.730599
my fish by an fish saw I in the pajamas in Bob in the elephant in the monkey in my fish outside my man,"[['SCIENCE', 0.316979], ['SPORTS', 0.215953], ['PETS', 0.164998], ['FOOD AND DRINK', 0.029766], ['HOBBIES AND INTERESTS', 0.00369738]]","[['AQUARIUMS', 0.76], ['PETS', 0.42]]",False,108,35,20:29:48.490803
my fish by an fish ate I in the pajamas in Bob in the elephant in the monkey in my fish outside my man,"[['SCIENCE', 0.393472], ['PETS', 0.211747], ['SPORTS', 0.117873], ['FOOD AND DRINK', 0.0642652], ['NON STANDARD CONTENT', 0.00201008]]","[['AQUARIUMS', 0.75], ['PETS', 0.39]]",False,109,35,20:29:52.096063
my fish by an fish ate I in the pajamas in Bob by the elephant in the monkey in my fish outside my man,"[['SCIENCE', 0.422714], ['PETS', 0.20561], ['SPORTS', 0.121885], ['FOOD AND DRINK', 0.0617412], ['NON STANDARD CONTENT', 0.00147325]]","[['AQUARIUMS', 0.75], ['PETS', 0.39]]",False,110,35,20:29:56.126203
my fish by an elephant ate I in the pajamas in Bob by the elephant in the monkey in my fish outside my man,"[['PETS', 0.754055], ['FOOD AND DRINK', 0.0795962], ['SCIENCE', 0.0450249], ['SPORTS', 0.0384601], ['HEALTH AND FITNESS', 0.010013]]","[['AQUARIUMS', 0.57], ['PETS', 0.26]]",False,111,35,20:30:00.084121
my pajamas by an elephant ate I in the pajamas in Bob by the elephant in the monkey in my fish outside my man,"[['SCIENCE', 0.775298], ['PETS', 0.168424], ['SPORTS', 0.0198793], ['FOOD AND DRINK', 0.0104127], ['HEALTH AND FITNESS', 0.00227211]]","[['AQUARIUMS', 0.32], ['PETS', 0.12]]",False,112,35,20:30:04.091377
my pajamas by an elephant shot I in the pajamas in Bob by the elephant in the monkey in my fish outside my man,"[['SCIENCE', 0.600104], ['PETS', 0.29539], ['SPORTS', 0.0350168], ['FOOD AND DRINK', 0.00488105], ['HEALTH AND FITNESS', 0.00426038]]","[['LARGE ANIMALS', 0.34], ['PETS', 0.13]]",False,113,35,20:30:07.868986
my pajamas by an elephant shot I in the pajamas in Bob by my elephant in the monkey in my fish outside my man,"[['SCIENCE', 0.755565], ['PETS', 0.11061], ['SPORTS', 0.0531343], ['NON STANDARD CONTENT', 0.0108007], ['ARTS AND ENTERTAINMENT', 0.0051196]]","[['LARGE ANIMALS', 0.34], ['PETS', 0.13]]",False,114,35,20:30:11.469528
my pajamas by an elephant shot I in the pajamas in Bob by my elephant by the monkey in my fish outside my man,"[['SCIENCE', 0.767542], ['PETS', 0.101756], ['SPORTS', 0.0534759], ['NON STANDARD CONTENT', 0.00981889], ['ARTS AND ENTERTAINMENT', 0.00464573]]","[['LARGE ANIMALS', 0.34], ['PETS', 0.13]]",False,115,35,20:30:15.149400
my pajamas by an elephant shot I in the pajamas by Bob by my elephant by the monkey in my fish outside my man,"[['SCIENCE', 0.747067], ['PETS', 0.0974002], ['SPORTS', 0.0545111], ['NON STANDARD CONTENT', 0.02785], ['ARTS AND ENTERTAINMENT', 0.00508218]]","[['LARGE ANIMALS', 0.34], ['PETS', 0.13]]",False,116,35,20:30:19.162543
my pajamas by an elephant shot I in the fish by Bob by my elephant by the monkey in my fish outside my man,"[['PETS', 0.365439], ['SPORTS', 0.179195], ['FOOD AND DRINK', 0.0509601], ['NON STANDARD CONTENT', 0.0459225], ['ARTS AND ENTERTAINMENT', 0.00819634]]","[['AQUARIUMS', 0.56], ['PETS', 0.27]]",False,117,35,20:30:22.826850
my pajamas by my elephant shot I in the fish by Bob by my elephant by the monkey in my fish outside my man,"[['PETS', 0.311795], ['SPORTS', 0.241487], ['NON STANDARD CONTENT', 0.150472], ['FOOD AND DRINK', 0.0388276], ['HOBBIES AND INTERESTS', 0.0316603]]","[['AQUARIUMS', 0.56], ['PETS', 0.27]]",False,118,35,20:30:26.864800
my fish by my elephant shot I in the fish by Bob by my elephant by the monkey in my fish outside my man,"[['SPORTS', 0.668134], ['PETS', 0.110332], ['NON STANDARD CONTENT', 0.0261351], ['FOOD AND DRINK', 0.0247607], ['HOBBIES AND INTERESTS', 0.00579477]]","[['AQUARIUMS', 0.68], ['PETS', 0.39]]",False,119,35,20:30:30.911133
my fish by my elephant shot Mary in the fish by Bob by my elephant by the monkey in my fish outside my man,"[['SPORTS', 0.752959], ['PETS', 0.0571726], ['NON STANDARD CONTENT', 0.0218925], ['FOOD AND DRINK', 0.0120838], ['ARTS AND ENTERTAINMENT', 0.00446342]]","[['AQUARIUMS', 0.67], ['PETS', 0.37]]",False,120,35,20:30:35.170076
my fish by my elephant shot Mary in a fish by Bob by my elephant by the monkey in my fish outside my man,"[['SPORTS', 0.730133], ['PETS', 0.0778313], ['NON STANDARD CONTENT', 0.0280057], ['FOOD AND DRINK', 0.0100787], ['ARTS AND ENTERTAINMENT', 0.00553152]]","[['AQUARIUMS', 0.67], ['PETS', 0.37]]",False,121,35,20:30:39.097264
my fish by my elephant shot Mary in a fish by Bob by my elephant outside the monkey in my fish outside my man,"[['SPORTS', 0.710859], ['PETS', 0.0904503], ['NON STANDARD CONTENT', 0.035804], ['FOOD AND DRINK', 0.00846416], ['ARTS AND ENTERTAINMENT', 0.00399148]]","[['AQUARIUMS', 0.67], ['PETS', 0.37]]",False,122,35,20:30:43.140609
my fish by my elephant shot Mary in a fish by Bob by my elephant outside the monkey by my fish outside my man,"[['SPORTS', 0.653275], ['NON STANDARD CONTENT', 0.107696], ['PETS', 0.0261379], ['FOOD AND DRINK', 0.0177698], ['ARTS AND ENTERTAINMENT', 0.0134212]]","[['AQUARIUMS', 0.67], ['PETS', 0.37]]",False,123,35,20:30:47.866465
my fish by my elephant shot Mary in my fish by Bob by my elephant outside the monkey by my fish outside my man,"[['SPORTS', 0.384344], ['NON STANDARD CONTENT', 0.303318], ['PETS', 0.0809691], ['HOBBIES AND INTERESTS', 0.0499863], ['ARTS AND ENTERTAINMENT', 0.0431729]]","[['AQUARIUMS', 0.67], ['PETS', 0.37]]",False,124,35,20:30:53.432226
my fish by my elephant shot Mary in my fish by Bob by my elephant outside the monkey by my fish outside the man,"[['NON STANDARD CONTENT', 0.490023], ['SPORTS', 0.261457], ['ARTS AND ENTERTAINMENT', 0.0612078], ['PETS', 0.0574141], ['HOBBIES AND INTERESTS', 0.0234462]]","[['AQUARIUMS', 0.67], ['PETS', 0.37]]",False,125,35,20:30:57.162235
my fish by my elephant shot Mary in a fish by Bob by my elephant outside the monkey by my fish outside the man,"[['SPORTS', 0.467306], ['NON STANDARD CONTENT', 0.180793], ['ARTS AND ENTERTAINMENT', 0.0199211], ['PETS', 0.0187317], ['FOOD AND DRINK', 0.0161027]]","[['AQUARIUMS', 0.67], ['PETS', 0.37]]",False,126,35,20:31:01.319768
my fish by my elephant killed Mary in a fish by Bob by my elephant outside the monkey by my fish outside the man,"[['SPORTS', 0.506776], ['NON STANDARD CONTENT', 0.178346], ['FOOD AND DRINK', 0.0223829], ['ARTS AND ENTERTAINMENT', 0.0220321], ['RELIGION AND SPIRITUALITY', 0.0122092]]","[['AQUARIUMS', 0.67], ['PETS', 0.39]]",True,127,36,20:31:05.418904
my fish by my elephant killed Mary in a fish by Mary by my elephant outside the monkey by my fish outside the man,"[['SPORTS', 0.847186], ['NON STANDARD CONTENT', 0.0384758], ['FOOD AND DRINK', 0.0148693], ['RELIGION AND SPIRITUALITY', 0.0139439], ['ARTS AND ENTERTAINMENT', 0.0136327]]","[['AQUARIUMS', 0.66], ['PETS', 0.36]]",True,128,37,20:31:09.970741
my fish by my elephant killed Mary in a fish by Mary by my elephant in the monkey by my fish outside the man,"[['SPORTS', 0.861384], ['NON STANDARD CONTENT', 0.0273658], ['ARTS AND ENTERTAINMENT', 0.0162417], ['FOOD AND DRINK', 0.0153659], ['RELIGION AND SPIRITUALITY', 0.0118238]]","[['AQUARIUMS', 0.66], ['PETS', 0.36]]",True,129,38,20:31:13.646235
my fish by my elephant killed Mary in a fish by I by my elephant in the monkey by my fish outside the man,"[['SPORTS', 0.674518], ['NON STANDARD CONTENT', 0.0594029], ['FOOD AND DRINK', 0.0575508], ['ARTS AND ENTERTAINMENT', 0.0347851], ['RELIGION AND SPIRITUALITY', 0.0265493]]","[['AQUARIUMS', 0.67], ['PETS', 0.41]]",True,130,39,20:31:17.418016
my fish by my elephant killed I in a fish by I by my elephant in the monkey by my fish outside the man,"[['SPORTS', 0.453373], ['FOOD AND DRINK', 0.182287], ['NON STANDARD CONTENT', 0.0548014], ['HOBBIES AND INTERESTS', 0.040831], ['ARTS AND ENTERTAINMENT', 0.032049]]","[['AQUARIUMS', 0.67], ['PETS', 0.43]]",True,131,40,20:31:25.793677
my fish by my elephant wounded I in a fish by I by my elephant in the monkey by my fish outside the man,"[['SPORTS', 0.638096], ['FOOD AND DRINK', 0.0465586], ['ARTS AND ENTERTAINMENT', 0.0462203], ['HOBBIES AND INTERESTS', 0.0284891], ['NON STANDARD CONTENT', 0.0214826]]","[['AQUARIUMS', 0.69], ['PETS', 0.4]]",True,132,41,20:31:29.807946
my fish by my elephant shot I in a fish by I by my elephant in the monkey by my fish outside the man,"[['SPORTS', 0.527427], ['FOOD AND DRINK', 0.0851941], ['NON STANDARD CONTENT', 0.0705955], ['PETS', 0.0688576], ['HOBBIES AND INTERESTS', 0.0516861]]","[['AQUARIUMS', 0.68], ['PETS', 0.41]]",False,133,41,20:31:33.479897
my fish by my elephant shot I in a fish by I by my elephant with the monkey by my fish outside the man,"[['SPORTS', 0.554736], ['FOOD AND DRINK', 0.0790634], ['PETS', 0.0689508], ['NON STANDARD CONTENT', 0.0612782], ['HOBBIES AND INTERESTS', 0.050012]]","[['AQUARIUMS', 0.68], ['PETS', 0.41]]",False,134,41,20:31:37.159486
my fish by an elephant shot I in a fish by I by my elephant with the monkey by my fish outside the man,"[['SPORTS', 0.333368], ['FOOD AND DRINK', 0.115793], ['PETS', 0.079362], ['HEALTH AND FITNESS', 0.0209364], ['NON STANDARD CONTENT', 0.0190224]]","[['AQUARIUMS', 0.68], ['PETS', 0.41]]",False,135,41,20:31:40.847880
my fish by an elephant shot I in a fish by I by my elephant with the monkey by my fish on the man,"[['SPORTS', 0.779438], ['FOOD AND DRINK', 0.0350097], ['PETS', 0.0233878], ['HEALTH AND FITNESS', 0.00626712], ['ARTS AND ENTERTAINMENT', 0.00437428]]","[['AQUARIUMS', 0.68], ['PETS', 0.41]]",False,136,41,20:31:44.853362
my fish by an elephant shot John in a fish by I by my elephant with the monkey by my fish on the man,"[['SPORTS', 0.552918], ['ARTS AND ENTERTAINMENT', 0.350657], ['FOOD AND DRINK', 0.0156796], ['PETS', 0.00493541], ['HEALTH AND FITNESS', 0.00365051]]","[['AQUARIUMS', 0.67], ['PETS', 0.4]]",False,137,41,20:31:49.151756
my fish by an elephant shot John in a fish by I by my elephant with the cat by my fish on the man,"[['PETS', 0.65387], ['SPORTS', 0.261531], ['ARTS AND ENTERTAINMENT', 0.0729617], ['FOOD AND DRINK', 0.000892248], ['HEALTH AND FITNESS', 0.000399966]]","[['AQUARIUMS', 0.67], ['PETS', 0.53]]",False,138,41,20:31:53.122815
my fish by an elephant shot John outside a fish by I by my elephant with the cat by my fish on the man,"[['PETS', 0.647339], ['SPORTS', 0.269193], ['ARTS AND ENTERTAINMENT', 0.0728219], ['FOOD AND DRINK', 0.000851479], ['HEALTH AND FITNESS', 0.000391552]]","[['AQUARIUMS', 0.67], ['PETS', 0.53]]",False,139,41,20:31:57.774357
my fish by an elephant shot John outside a fish by I by my elephant with the cat outside my fish on the man,"[['SPORTS', 0.715569], ['ARTS AND ENTERTAINMENT', 0.172002], ['PETS', 0.0938057], ['FOOD AND DRINK', 0.00173611], ['HEALTH AND FITNESS', 0.000787264]]","[['AQUARIUMS', 0.67], ['PETS', 0.53]]",False,140,41,20:32:01.430235
my fish by an elephant shot John outside a fish by John by my elephant with the cat outside my fish on the man,"[['SPORTS', 0.788762], ['ARTS AND ENTERTAINMENT', 0.146374], ['PETS', 0.054501], ['HEALTH AND FITNESS', 0.000627153], ['FOOD AND DRINK', 0.000498945]]","[['AQUARIUMS', 0.65], ['PETS', 0.5]]",False,141,41,20:32:05.167017
my fish by an elephant shot John outside a fish by John by my elephant with the cat outside my fish with the man,"[['SPORTS', 0.683595], ['ARTS AND ENTERTAINMENT', 0.203385], ['PETS', 0.089085], ['FOOD AND DRINK', 0.00266478], ['HEALTH AND FITNESS', 0.0011809]]","[['AQUARIUMS', 0.65], ['PETS', 0.5]]",False,142,41,20:32:09.733386
my fish by an elephant shot John outside a fish by Bob by my elephant with the cat outside my fish with the man,"[['SPORTS', 0.893753], ['PETS', 0.0536276], ['ARTS AND ENTERTAINMENT', 0.0388342], ['HOBBIES AND INTERESTS', 0.00178769], ['FOOD AND DRINK', 0.00145766]]","[['AQUARIUMS', 0.66], ['PETS', 0.51]]",False,143,41,20:32:14.645943
my fish by an elephant shot John outside a fish by I by my elephant with the cat outside my fish with the man,"[['SPORTS', 0.586758], ['ARTS AND ENTERTAINMENT', 0.226873], ['PETS', 0.144589], ['FOOD AND DRINK', 0.0088057], ['HEALTH AND FITNESS', 0.00141752]]","[['AQUARIUMS', 0.67], ['PETS', 0.53]]",False,144,41,20:32:18.321941
my fish by an elephant shot John outside a fish by I by my elephant with an cat outside my fish with the man,"[['SPORTS', 0.803324], ['ARTS AND ENTERTAINMENT', 0.146782], ['FOOD AND DRINK', 0.00994132], ['PETS', 0.00198288], ['HEALTH AND FITNESS', 0.00174403]]","[['AQUARIUMS', 0.67], ['PETS', 0.53]]",False,145,41,20:32:22.321022
my fish by an elephant killed John outside a fish by I by my elephant with an cat outside my fish with the man,"[['SPORTS', 0.712366], ['RELIGION AND SPIRITUALITY', 0.217593], ['FOOD AND DRINK', 0.0161738], ['HEALTH AND FITNESS', 0.00168418], ['PETS', 0.00118993]]","[['AQUARIUMS', 0.66], ['PETS', 0.54]]",False,146,41,20:32:26.011545
my fish by an elephant killed Bob outside a fish by I by my elephant with an cat outside my fish with the man,"[['SPORTS', 0.861645], ['FOOD AND DRINK', 0.0182702], ['HEALTH AND FITNESS', 0.00425675], ['HOBBIES AND INTERESTS', 0.00328494], ['PETS', 0.0017926]]","[['AQUARIUMS', 0.67], ['PETS', 0.53]]",False,147,41,20:32:29.725360
my fish by an elephant killed Bob outside a fish by I with my elephant with an cat outside my fish with the man,"[['SPORTS', 0.863423], ['FOOD AND DRINK', 0.0176321], ['HEALTH AND FITNESS', 0.00422289], ['HOBBIES AND INTERESTS', 0.00306449], ['PETS', 0.00186048]]","[['AQUARIUMS', 0.67], ['PETS', 0.53]]",False,148,41,20:32:33.381412
